concept_id,concept,lexicalization,frequency,aoa
1857,crocodile,0.80731,151.54239,4.78
1858,fisherman,0.853908,110.37537,5.16
1859,third,0.740217,274.08956,4.580539
1860,bead,0.793851,133.20178,5.63
1862,donkey,0.769466,172.72173,6
1867,coin,0.855673,114.4059,4.17
1869,buy,0.97655,415.46846,5.56
1871,camel,0.511968,279.97652,5.11
1875,regret,0.829191,219.67308,3.44
1879,dance,0.983343,834.84809,4.63
1881,enough,0.982501,400.29254,6.95705
1882,before,0.869925,1157.90151,5.454413
1883,in front of,0.842434,479.24344,5.187988
1886,armpit,0.967061,109.39975,6
1887,cheap,0.921021,89.825,7.11
1888,pair,0.89319,126.12586,5.94
1890,believe,0.953827,216.57818,5.78
1892,touch,0.974511,190.47268,5.16
1895,clothes,0.992179,495.3149,3.11
1897,help,0.983172,680.46894,3.65
1899,mad,0.961427,115.90439,5.22
1901,shovel,0.820649,102.22753,6.28
1905,eagle,0.723318,258.95345,5.83
1906,sour,0.993284,156.7304,4.89
1909,shake,0.970704,170.59,5.26
1913,press,0.935384,126.83426,6.4
1914,debt,0.847856,108.56934,10.44
1917,tie,0.989205,222.76561,4.74
1920,dream,0.981384,164.37757,4.88
1923,rough,0.90859,113.43617,6.21
1926,ointment,0.743477,98.83383,7.9
1927,bamboo,0.829391,469.24368,9.28
1928,cease,0.962826,576.86926,4.28
1929,study,0.848512,268.80105,6.58
1932,guess,0.802472,123.03163,5.44
1934,beggar,0.827693,98.65076,7.63
1936,deer,0.940371,322.00069,5.17
1939,swear,0.571086,122.50988,7.21
1940,guard,0.731353,172.13294,6.25
1941,soldier,0.875926,151.85841,6.94
1942,near,0.992985,757.13277,4.5
1948,saw,0.879418,1599.89577,5.3585
1961,necklace,0.931937,104.76141,5
1963,immediately,0.936103,202.59073,6.765224
1970,canoe,0.749377,496.71009,6.63
1973,demon,0.909862,167.70292,7.16
1979,chisel,0.597179,89.92111,10.53
1992,more,0.942311,971.27907,3.781264
1997,preserve,0.91102,90.96987,8.72
1998,command,0.880345,395.50991,6.26
2001,painting,0.841661,98.15612,4.45
2003,flow,0.934047,124.56324,7.4
2004,bend,0.992985,111.87943,5.56
2007,bolt,0.87673,181.20917,4.76
2008,rescue,0.897053,130.12166,5.44
2012,collar,0.754537,91.08782,6.56
2013,bait,0.668071,114.43822,7.11
2017,mix,0.977278,183.20479,5.11
2018,greedy,0.787793,108.1865,7.53
2022,admit,0.809365,96.68027,7.11
2023,crowd,0.890027,103.60787,7.14
2125,stone or rock,0.979501,1020.3654,3.22
2130,headgear,0.970489,403.11113,3.33
2131,torch or lamp,0.929616,106.31159,4
2132,sickle or scythe,0.701651,110.31105,11.35
2133,strike or beat,0.989205,1203.81569,4.75
2135,trade or barter,0.877489,111.96818,6.42
2137,magician,0.903041,195.97658,4.78
2139,muroid,0.988985,298.31808,4.94
2146,roast or fry,0.987195,165.53081,5.79
2249,thin,0.983351,117.21088,6.47
2252,path,0.981971,217.5887,6.11
2253,drip,0.951484,124.38455,5.89
2260,female,0.983031,178.11607,5.89
2261,male,0.987675,161.67613,5.63
2262,female,0.911927,178.11607,5.89
2263,male,0.919715,161.67613,5.63
2866,drop,0.896043,156.78131,3.26
3189,stab to death,0.936769,101.69946,6.4
3199,twist,0.964285,92.34224,6.46
3206,elf or fairy,0.504122,155.13206,4.32
3210,knife,0.973292,300.82189,4.15
3223,branch or twig,0.988985,536.57865,5.11
3294,braid,0.939734,111.55583,9.89
3311,flowing body of water,0.985346,1090.81197,4.9
3456,crawl or creep,0.975488,139.50238,3.89
