concept_id,concept,lexicalization,frequency,aoa
655,poison,0.916742,160.46761,5.58
657,price,0.862185,131.85792,7.35
660,reef,0.335434,190.21413,9.72
661,religion,0.587584,160.13863,7.06
663,bay,0.480127,126.336,8.67
665,bee,0.964211,160.99532,5
667,road,0.977827,669.06184,4.55
671,sand,0.995995,136.33306,4.63
672,early,0.872734,280.6699,5.305215
673,school,0.863396,880.07962,3.89
676,shit,0.996179,97.9929,13.2
677,axe,0.989205,228.38234,6.11
678,beard,0.988985,97.29898,4.84
679,bright,0.924647,110.95387,6.58
680,break,0.996179,301.5968,5.3
681,destroy,0.917772,153.84291,6.7
682,side,0.97701,1305.66902,4.72
684,own,0.848145,631.73281,5.209302
686,easy,0.912364,165.91746,5.43
690,bottom,0.938954,190.69748,5.28
691,season,0.701258,236.40998,6.05
692,bring,0.980394,916.32253,4.42
694,get,0.922762,2523.96256,3.17
698,wise,0.858191,118.98184,6.79
700,carry,0.978778,520.48435,5.16
701,slow,0.99703,281.9161,4.15
702,catch,0.934794,156.51195,5.37
703,soon,0.899408,232.67991,4.82565
704,clean,0.947184,278.88548,3.89
706,dark,0.87588,261.54687,3.74
707,remember,0.994951,375.92688,5.63
708,shine,0.968139,109.96601,5.79
709,teach,0.976381,247.4256,4.67
710,wheel,0.89419,101.23175,4.4
711,tall,0.977106,139.87478,4.95
712,rich,0.950536,227.12907,6.32
713,steal,0.985592,190.45361,6.17
714,seed,0.960091,313.26728,4.72
715,shout,0.992527,180.2833,4.72
718,pay,0.94529,285.60897,5.5
719,find,0.984561,739.1409,5.78
720,good luck,0.739194,104.78627,6.53
721,low,0.944941,135.76142,4.7
722,attack,0.723683,105.64348,6.58
723,place,0.900346,2621.6798,4.95
724,read,0.956764,172.80272,4.11
728,first,0.979097,1399.11656,4.388713
730,snake,0.988389,772.72164,5.1
733,earn,0.730736,113.55073,7.57
735,owl,0.923888,135.30941,6.21
736,yard,0.845026,260.08446,3.94
738,thing,0.892105,2813.79181,4.58
740,ship,0.710295,181.77046,5.33
741,drive,0.876565,210.69432,5.26
742,end,0.928203,573.32691,4.28
744,egg,0.993066,294.71046,3.89
748,sow seeds,0.905015,131.66452,9.67
749,enter,0.985674,283.64834,5.67
752,store,0.779546,205.71887,4.76
753,pupil,0.87096,135.97003,5.94
754,hurry,0.978543,154.05535,4.44
755,deny,0.769821,153.68724,7.8
757,button,0.821905,90.62595,4.78
758,heron,0.74683600000000006,107.51813,10.35
759,silver,0.819211,123.93805,6.21
760,knot,0.89389,97.54136,6.05
761,cover,0.967969,225.34096,5.42
762,outside,0.880854,431.38323,3.578781
765,move,0.952527,625.04212,4.62
767,corpse,0.951274,104.08766,10
769,roof,0.962664,205.6261,5
770,earring,0.882559,172.95954,7.17
772,belt,0.96446,163.83977,4.62
777,flute,0.904616,109.80005,8.47
779,part,0.926228,785.07557,4.89
781,fear,0.985626,172.39973,4.79
783,victory,0.816055,107.84822,7.53
784,snow,0.660601,160.98443,4.11
788,soap,0.894943,111.41526,3.17
790,ready,0.883453,378.97218,5.53
792,boil,0.983894,199.97955,6.6
794,pen,0.824617,91.09337,5.11
798,jaw,0.941048,102.01912,5.33
799,wrist,0.893927,95.14901,5.94
801,rib,0.99027,98.76304,6.3
803,ankle,0.929423,98.73653,4.89
806,blanket,0.933131,139.25658,3.61
809,trousers,0.936231,208.55678,5.94
811,soul,0.969391,356.43617,6.17
812,slave,0.729197,112.52059,7.84
816,half,0.939518,332.66789,5.454413
820,lamb,0.720515,98.02076,4.15
827,roll,0.930983,127.16255,4.47
832,bean,0.901408,163.5256,3.42
834,buttocks,0.967423,111.1009,3.73
837,blue,0.9976,123.23587,3.53
843,spider,0.986095,119.69013,3.43
850,square,0.693999,121.12789,4.11
851,stable,0.732555,92.78572,7.75
852,priest,0.752344,129.57713,7.1
854,kettle,0.779819,99.00611,8.06
855,seize,0.9873,90.57512,10.15
858,storm,0.884158,100.43324,4.94
859,stove,0.706858,183.33933,4.32
860,cause,0.774675,144.64215,5.84
861,judge,0.646541,111.64658,8.85
862,sugar,0.913342,282.36541,3.95
863,edge,0.96219,178.23479,6.17
864,pumpkin,0.874669,179.61422,4.78
873,tax,0.570921,110.20384,8.94
878,hell,0.700744,105.38974,5.11
882,parrot,0.90288,122.1492,5.58
884,share,0.939052,179.52792,4.84
887,bitter,0.989205,166.18135,8.81
889,flame,0.916348,102.59958,6.25
890,mule,0.676992,92.96971,5.65
891,tide,0.361161,155.15742,6.68
892,time,0.717737,3087.22046,5.16
897,swallow,0.978437,104.63472,5.17
906,tree,0.975256,2297.67193,3.57
908,drum,0.858272,283.74978,4.63
911,temple,0.815817,685.13461,5.15
913,crow,0.719523,311.63977,5.74
917,ornament,0.681298,97.3114,6.1
921,valley,0.825744,119.57745,7.94
923,love,0.981971,246.08516,5.17
924,vegetables,0.671975,175.05689,4.17
925,cassava,0.606241,116.00256,9.16
926,rice,0.846112,406.63585,3.72
930,village,0.936056,1726.89634,7.84
932,barley,0.417756,103.65199,9.8
933,wall,0.919659,184.08911,3.79
937,bird,0.974006,733.98399,3.52
938,mare,0.808028,132.59728,8.84
942,honey,0.984829,182.35553,5.44
943,waterfall,0.715604,112.7691,5.47
945,spear,0.834119,277.92105,7.22
948,water,0.999149,1806.90196,2.37
951,weapons,0.708188,127.17416,6.95
952,weather,0.617217,112.66855,5.94
956,flee,0.966264,95.42478,8.33
957,whale,0.432587,106.85166,5.47
963,book,0.919716,192.55962,3.68
964,wool,0.731078,106.64543,8.06
965,world,0.915112,433.68881,5.32
970,coconut,0.56375,710.96111,6.5
974,tobacco,0.911763,194.82441,7.39
977,arrow,0.932069,313.30004,6.07
978,wave,0.799177,121.92951,4.26
979,farmer,0.712611,149.21777,4.74
984,work,0.969083,1542.36133,5.86
987,remain,0.971102,115.15171,8.17
989,clear,0.859791,196.97922,5.8
996,deaf,0.997928,113.62637,6.83
998,put,0.970643,3490.8235,3.72
1000,anxiety,0.907803,150.00142,6.61
1001,blacksmith,0.624284,118.05299,9.84
1002,statue,0.600666,92.32349,7.55
1005,twins,0.885017,121.70016,6.06
1006,brick,0.704005,108.65785,6.43
1007,cow,0.947046,827.71133,3.94
1008,bull,0.867157,264.73285,4.53
1010,boundary,0.794313,97.01103,8.35
1011,bridge,0.905173,187.55344,5.58
1014,or,0.7566,2524.08582,4.143602
1021,towel,0.743119,102.70239,3.22
1025,whistle,0.95621,183.19479,5.42
1033,grind,0.989927,177.21835,7.58
1035,good,0.994336,2232.42907,3.55
1038,teacher,0.926056,216.02837,4.55
1039,show,0.958675,341.06775,4.55
1044,pillow,0.856539,93.99606,3.47
1046,shut,0.984561,115.86773,4.89
1062,law,0.735753,524.0816,8.33
1063,nephew,0.850458,127.82579,6.37
1067,judgment,0.554563,90.95574,8.939252
1068,court,0.530253,135.7241,8.39
1069,glue,0.818346,88.40518,4.67
1071,hook,0.875631,114.31323,6.26
1075,trap,0.844388,198.5904,6.44
1077,wheat,0.622939,116.36243,6.53
1079,feel,0.914345,343.20492,5.11
1081,bill,0.64405,120.63184,6.4242
1082,merchant,0.779288,134.61835,9.8
1085,follow,0.978585,312.79581,5.11
1095,let go or set free,0.871509,112.40096,8.53
1098,weigh,0.868949,105.00692,6.62
1100,cook,0.973407,499.21134,4.22
1102,climb,0.963209,362.24731,5.3
1103,sacrifice,0.688065,152.85508,9.61
1109,wound,0.948637,218.83191,5.84
1113,wrap,0.995108,128.23936,7
1115,speech,0.779026,166.4631,6.22
1119,divide,0.931075,181.97372,6.25
1121,secret,0.825137,112.12859,5.39
1123,pregnant,0.996803,173.88485,6.76
1124,pipe,0.686534,126.88912,8.17
1125,bald,0.95268,144.99115,7.26
1127,send,0.940317,252.28756,5.68
1133,match,0.89343,131.42139,5.72
1135,kick,0.968805,107.68844,4.06
1136,rabbit,0.888736,293.14224,3.94
1141,pity,0.905589,157.87904,8.72
1143,oven,0.728479,144.40933,5.67
1145,swamp,0.878556,114.03883,7.95
1149,orphan,0.920228,126.1059,6.94
1150,thunder,0.987397,105.15677,4.89
1153,cattle,0.84273,335.55047,6.53
1155,cave,0.920841,253.64297,6.74
1156,open,0.9839,438.43412,5
