glottocode,word,sum_count,same_meaning,glottolog_langname
stan1290,foot,12312,TRUE,French
dutc1256,door,12310,FALSE,Dutch
lati1261,use,12288,FALSE,Latin
nucl1643,death,12273,FALSE,Japanese
stan1290,passage,12264,TRUE,French
nucl1643,men,12245,FALSE,Japanese
mand1415,che,12232,FALSE,Mandarin Chinese
stan1295,lot,12231,FALSE,German
stan1290,language,12191,FALSE,French
stan1288,run,12119,FALSE,Spanish
mand1415,carry,12105,FALSE,Mandarin Chinese
stan1290,con,12034,TRUE,French
stan1288,look,12031,TRUE,Spanish
mand1415,hang,12010,FALSE,Mandarin Chinese
stan1290,lot,11998,TRUE,French
stan1290,film,11987,TRUE,French
stan1290,river,11979,FALSE,French
stan1290,bill,11966,TRUE,French
wels1247,pan,11934,FALSE,Welsh
stan1290,drive,11933,FALSE,French
mand1415,yen,11917,TRUE,Mandarin Chinese
lati1261,die,11915,FALSE,Latin
stan1288,pie,11839,TRUE,Spanish
stan1290,justice,11834,TRUE,French
stan1290,met,11829,FALSE,French
stan1288,general,11813,TRUE,Spanish
stan1295,alter,11788,FALSE,German
stan1290,dead,11776,FALSE,French
stan1290,pot,11759,TRUE,French
stan1290,ring,11757,TRUE,French
mand1415,term,11741,TRUE,Mandarin Chinese
stan1288,car,11708,FALSE,Spanish
ital1282,dare,11667,FALSE,Italian
stan1290,hot,11656,FALSE,French
stan1290,black,11650,TRUE,French
mand1415,stone,11642,FALSE,Mandarin Chinese
port1283,ser,11608,FALSE,Portuguese
stan1290,bras,11607,FALSE,French
mand1415,live,11548,TRUE,Mandarin Chinese
viet1252,day,11543,FALSE,Vietnamese
stan1295,film,11536,TRUE,German
stan1290,trait,11520,TRUE,French
stan1295,nun,11517,FALSE,German
mand1415,low,11484,FALSE,Mandarin Chinese
stan1290,loin,11455,FALSE,French
mand1415,die,11448,FALSE,Mandarin Chinese
stan1288,short,11437,FALSE,Spanish
stan1290,simple,11385,TRUE,French
stan1290,post,11373,TRUE,French
stan1290,bar,11372,TRUE,French
wels1247,hen,11364,FALSE,Welsh
