id,glottocode,langname,langfamily,area,population,subsistence,latitude,longitude,avgmonth_tmp,minmonth_tmp,maxmonth_pre,maxmonth_wnd,logpop
mdp.39015040105812,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015042556848,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015054032654,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
loc.ark:/13960/t4nk4n14d,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015042010226,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
hvd.hn34qw,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uc1.32106020061930,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015015203220,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015060853721,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uc1.32106009924439,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uc1.31822006630396,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
nyp.33433075921738,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
hvd.hn6i2a,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uva.x000533554,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uc1.a0001562461,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
inu.30000064299401,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
mdp.39015064736641,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
nyp.33433075910665,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
pst.000048892728,ital1282,Italian,Indo-European,Eurasia,57191010,other,43.0464,12.6489,11.920277969704737,3.3100000580151874,114.0200028737386,3.3,17.8619072761657
uva.x001222090,izon1238,Izon,Ijoid,Africa,1000000,other,5.17986,5.51702,26.723333687252467,25.21000010172526,431.9966715494792,2.7,13.815510557964274
uc1.31822000326272,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
hvd.32044086539483,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
uva.x000970030,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
mdp.39015028358110,nucl1643,Japanese,Japonic,Eurasia,121563000,other,35,135,12.272777963926394,0.8200000117222468,219.90667063395185,3.2,18.61594320487912
